"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-18","Algeria","阿尔及利亚",72,6
"2020-03-18","Benin","贝宁",1,0
"2020-03-18","Burkina Faso","布基纳法索",26,1
"2020-03-18","Cameroon","喀麦隆",10,0
"2020-03-18","Central African Republic","中非共和国",1,0
"2020-03-18","Congo","刚果",3,0
"2020-03-18","Côte d’Ivoire","科特迪瓦",9,0
"2020-03-18","Democratic Republic of the Congo","刚果民主共和国",7,0
"2020-03-18","Equatorial Guinea","赤道几内亚",3,0
"2020-03-18","Eswatini","斯威士兰",1,0
"2020-03-18","Ethiopia","埃塞俄比亚",6,0
"2020-03-18","Gabon","加蓬",3,0
"2020-03-18","Gambia","冈比亚",1,0
"2020-03-18","Ghana","加纳",9,0
"2020-03-18","Guinea","几内亚",1,0
"2020-03-18","Kenya","肯尼亚",7,0
"2020-03-18","Liberia","利比里亚",2,0
"2020-03-18","Mauritania","毛里塔尼亚",2,0
"2020-03-18","Mauritius","毛里求斯",3,0
"2020-03-18","Mayotte","Mayotte",3,0
"2020-03-18","Namibia","纳米比亚",2,0
"2020-03-18","Nigeria","尼日利亚",8,0
"2020-03-18","Réunion","Réunion",12,0
"2020-03-18","Rwanda","卢旺达",11,0
"2020-03-18","Senegal","塞内加尔",36,0
"2020-03-18","Seychelles","塞舌尔",6,0
"2020-03-18","South Africa","南非",116,0
"2020-03-18","Togo","多哥",1,0
"2020-03-18","United Republic of Tanzania","坦桑尼亚联合共和国",3,0
"2020-03-18","Zambia","赞比亚",2,0
"2020-03-18","Afghanistan","阿富汗",22,0
"2020-03-18","Bahrain","巴林",256,1
"2020-03-18","Djibouti","吉布提",1,0
"2020-03-18","Egypt","埃及",196,6
"2020-03-18","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",17361,1135
"2020-03-18","Iraq","伊拉克",164,12
"2020-03-18","Jordan","约旦",52,0
"2020-03-18","Kuwait","科威特",142,0
"2020-03-18","Lebanon","黎巴嫩",133,4
"2020-03-18","Morocco","摩洛哥",49,2
"2020-03-18","occupied Palestinian territory","occupied Palestinian territory",44,0
"2020-03-18","Oman","阿曼",33,0
"2020-03-18","Pakistan","巴基斯坦",241,0
"2020-03-18","Qatar","卡塔尔",442,0
"2020-03-18","Saudi Arabia","沙特阿拉伯",238,0
"2020-03-18","Somalia","索马里",1,0
"2020-03-18","Sudan","Sudan",1,1
"2020-03-18","Tunisia","突尼斯",29,0
"2020-03-18","United Arab Emirates","阿拉伯联合酋长国",113,0
"2020-03-18","Albania","阿尔巴尼亚",59,2
"2020-03-18","Andorra","安道尔",39,0
"2020-03-18","Armenia","亚美尼亚",84,0
"2020-03-18","Austria","奥地利",1646,4
"2020-03-18","Azerbaijan","阿塞拜疆",34,1
"2020-03-18","Belarus","白俄罗斯",46,0
"2020-03-18","Belgium","比利时",1486,14
"2020-03-18","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",36,0
"2020-03-18","Bulgaria","保加利亚",92,2
"2020-03-18","Croatia","克罗地亚",81,0
"2020-03-18","Cyprus","塞浦路斯",58,0
"2020-03-18","Czechia","捷克",522,0
"2020-03-18","Denmark","丹麦",1044,4
"2020-03-18","Estonia","爱沙尼亚",258,0
"2020-03-18","Faroe Islands","Faroe Islands",58,0
"2020-03-18","Finland","芬兰",359,0
"2020-03-18","France","法国",9043,244
"2020-03-18","Georgia","格鲁吉亚",38,0
"2020-03-18","Germany","德国",8198,13
